epoch,model,metric_name,metric_value,time
85,autoencoder,validation_mean_loss,7.7586384,0.029869794845581055
86,autoencoder,train_mean_loss,7.760544,0.30489206314086914
86,autoencoder,validation_mean_loss,7.7586155,0.03004622459411621
87,autoencoder,train_mean_loss,7.76074,0.3090090751647949
87,autoencoder,validation_mean_loss,7.759719,0.03140878677368164
88,autoencoder,train_mean_loss,7.7603745,0.3121802806854248
88,autoencoder,validation_mean_loss,7.759708,0.03201746940612793
89,autoencoder,train_mean_loss,7.7600646,0.31044864654541016
89,autoencoder,validation_mean_loss,7.7585807,0.030191421508789062
90,autoencoder,train_mean_loss,7.7607827,0.3078474998474121
90,autoencoder,validation_mean_loss,7.7585506,0.030956268310546875
91,autoencoder,train_mean_loss,7.760294,0.30447840690612793
91,autoencoder,validation_mean_loss,7.759662,0.03234601020812988
92,autoencoder,train_mean_loss,7.7603464,0.3023953437805176
92,autoencoder,validation_mean_loss,7.7607555,0.030198335647583008
93,autoencoder,train_mean_loss,7.760075,0.3061838150024414
93,autoencoder,validation_mean_loss,7.758517,0.03042745590209961
94,autoencoder,train_mean_loss,7.76002,0.30962657928466797
94,autoencoder,validation_mean_loss,7.7596292,0.02995586395263672
95,autoencoder,train_mean_loss,7.75934,0.30347514152526855
95,autoencoder,validation_mean_loss,7.7585077,0.030236244201660156
96,autoencoder,train_mean_loss,7.7594686,0.3106973171234131
96,autoencoder,validation_mean_loss,7.7584763,0.030113697052001953
97,autoencoder,train_mean_loss,7.759672,0.30674123764038086
97,autoencoder,validation_mean_loss,7.758482,0.02990126609802246
98,autoencoder,train_mean_loss,7.759474,0.30683040618896484
98,autoencoder,validation_mean_loss,7.7584763,0.030092716217041016
99,autoencoder,train_mean_loss,7.759175,0.30903124809265137
99,autoencoder,validation_mean_loss,7.7584543,0.029952287673950195
100,autoencoder,train_mean_loss,7.759288,0.3055694103240967
100,autoencoder,validation_mean_loss,7.7595606,0.03079986572265625
